"id (S)","location (S)","isCapital (BOOL)"
"d016772f-54c2-4fbb-ad4e-8146e8989a2f","city#earth#asia#bangladesh#dhaka","true"
"ee893db8-71ef-44c1-ae40-7b06679c600b","city#earth#europe#belgium#brussels","true"
"56102be1-bca8-4f3d-af6b-af9f113de1da","city#earth#africa#burkina faso#ouagadougou","true"
"446aff8f-e13c-481f-a95c-69635b74457d","city#earth#europe#bulgaria#sofia","true"
"3f2bf15e-7b20-42da-8ed2-97ac2212e868","city#earth#europe#bosnia and herzegovina#sarajevo","true"
"69d1d4f3-29cd-4174-b6f7-fbcc2c47eb12","city#earth#north america#barbados#bridgetown","true"
"08c4d3d1-125b-41cc-a8e1-7bb1ed398342","city#earth#oceania#wallis and futuna#mata utu","true"
"b0fbef16-4f3b-4c3e-b822-24fdd3173388","city#earth#north america#saint barthelemy#gustavia","true"
"9ef643ce-d82e-420c-aab7-dcc06aefc56f","city#earth#north america#bermuda#hamilton","true"
"32928c56-09d3-45ff-be6f-d5322311993b","city#earth#asia#brunei#bandar seri begawan","true"
"64635e05-8605-4dbb-a129-31edeb5c2ed6","city#earth#south america#bolivia#sucre","true"
"2bbf743f-6fbb-4e59-a71f-86b8c706ea5b","city#earth#asia#bahrain#manama","true"
"a78a5cce-3801-4e70-8045-17a8dd3eb3f4","city#earth#africa#burundi#bujumbura","true"
"ce69bd46-6ab3-488d-af2b-fb844050e7c0","city#earth#africa#benin#porto-novo","true"
"88a8f47a-48b7-4259-bfc3-8c15d740e32d","city#earth#asia#bhutan#thimphu","true"
"92034e7a-e5ab-49a3-8c6d-fd79a83fcc14","city#earth#north america#jamaica#kingston","true"
"acfddeea-9075-4d90-9473-163ecc3ad558","city#earth#antarctica#bouvet island#","true"
"d5841adf-268f-450f-99f2-856b7620ed39","city#earth#africa#botswana#gaborone","true"
"61fc05c9-f02b-4e01-a617-5a8dd2b1eb43","city#earth#oceania#samoa#apia","true"
"31035a1d-81b0-40e9-a025-2626c11e75b0","city#earth#north america#bonaire, saint eustatius and saba #","true"
"c15891d5-2e47-4bcb-945f-57ee3f4db530","city#earth#south america#brazil#brasilia","true"
"91767b76-e469-41f4-8ff7-effeaf9be825","city#earth#north america#bahamas#nassau","true"
"5342607b-7e81-40a7-9287-d8c468f266f4","city#earth#europe#jersey#saint helier","true"
"af6149b2-2d65-4082-af47-23ccc8264ed7","city#earth#europe#belarus#minsk","true"
"771dcc1a-bf20-4b53-b43b-3fc4a8218244","city#earth#north america#belize#belmopan","true"
"c36fc9d2-707c-44de-9233-6797c264e6fb","city#earth#europe#russia#moscow","true"
"471021b3-625a-4a2a-86e8-746c0ca17ca1","city#earth#africa#rwanda#kigali","true"
"844de4a0-f343-4d8e-a6fa-308d23885426","city#earth#europe#serbia#belgrade","true"
"1d76601f-4019-4e59-a2ce-cdd7c3f056c7","city#earth#oceania#east timor#dili","true"
"1b7d20ab-e2cb-4fbe-8f62-a7e0fbaa821b","city#earth#africa#reunion#saint-denis","true"
"5c030c6a-0866-44e2-8068-1cd59f99995a","city#earth#asia#turkmenistan#ashgabat","true"
"a782a91e-5229-4145-a6d5-4fbfcac29dc1","city#earth#asia#tajikistan#dushanbe","true"
"f82d63d4-2305-457e-af0e-37f048f445ee","city#earth#europe#romania#bucharest","true"
"10d8e588-2ad1-4b1c-8386-5ae844ed7b27","city#earth#oceania#tokelau#","true"
"999441f8-adac-4a9b-a2f4-fbb865bc0588","city#earth#africa#guinea-bissau#bissau","true"
"765c0503-31c9-4cff-9cb0-ca2bb48febdd","city#earth#oceania#guam#hagatna","true"
"4499c655-4972-4c48-9e4e-d04e9df5c843","city#earth#north america#guatemala#guatemala city","true"
"5ae8ab56-6d83-447f-8b5a-6aad49a73033","city#earth#antarctica#south georgia and the south sandwich islands#grytviken","true"
"42ae7f6f-55de-4a37-825c-ee98fe6f468f","city#earth#europe#greece#athens","true"
"e16e9f6c-869b-4090-a72d-ed6240fda244","city#earth#africa#equatorial guinea#malabo","true"
"99e382cd-c283-4127-bd8a-7d7465fecf44","city#earth#north america#guadeloupe#basse-terre","true"
"441f1c96-86e6-43a2-af25-4091956276bf","city#earth#asia#japan#tokyo","true"
"167cef45-b6f4-4439-8144-4cedca3b4e74","city#earth#south america#guyana#georgetown","true"
"078e5a5d-150d-4369-b28a-1eef70c94725","city#earth#europe#guernsey#st peter port","true"
"0181df96-99cd-4680-8617-edac80318fca","city#earth#south america#french guiana#cayenne","true"
"27a92bc9-4bb6-48d5-b2d8-78f47776f5bb","city#earth#asia#georgia#tbilisi","true"
"ed933a34-71f8-431d-9727-79d20054acd4","city#earth#north america#grenada#st. george's","true"
"037cff8d-48de-4dde-aa6a-1f9cf3409847","city#earth#europe#united kingdom#london","true"
"48110329-f1af-45d4-a1fe-ab6ca7188e75","city#earth#africa#gabon#libreville","true"
"c3c4ef2c-e273-4d14-84ba-8f0fc8a78cef","city#earth#north america#el salvador#san salvador","true"
"6f1f93b0-11cb-4a96-8630-7b48bbca06bb","city#earth#africa#guinea#conakry","true"
"cc2237e6-0ac2-4103-8320-943fd66bd1c3","city#earth#africa#gambia#banjul","true"
"dbc023e1-7e96-42fc-8402-2885f7d17efe","city#earth#north america#greenland#nuuk","true"
"9c10abaf-357a-4878-ba9b-c724d0ef8a2d","city#earth#europe#gibraltar#gibraltar","true"
"c9a35c3e-65ef-470e-8109-aefa97b5e320","city#earth#africa#ghana#accra","true"
"bd81372d-fda9-4480-9648-939dad9cb849","city#earth#asia#oman#muscat","true"
"c037d57f-64c0-4fa7-9c11-a6f6f3079a6d","city#earth#africa#tunisia#tunis","true"
"b1100bfc-72a1-4b61-8af0-b9d190258e9d","city#earth#asia#jordan#amman","true"
"eec7beeb-8e12-434d-9abb-9b88a1af5476","city#earth#europe#croatia#zagreb","true"
"dca41a58-e4d5-4513-a8ec-dbe0b2894c88","city#earth#north america#haiti#port-au-prince","true"
"44b42370-a1fc-4c73-8063-2ca5288f5481","city#earth#europe#hungary#budapest","true"
"5fc645f9-8998-479d-befb-551fcc57a0f8","city#earth#asia#hong kong#hong kong","true"
"5e995404-42b4-4f0f-b15e-e64c53e2dd14","city#earth#north america#honduras#tegucigalpa","true"
"c1e30b3d-cebc-4171-be36-e6b44dff9c80","city#earth#antarctica#heard island and mcdonald islands#","true"
"91e6b380-1965-48a9-88e1-e235dd70fb61","city#earth#south america#venezuela#caracas","true"
"8115d1e8-206b-4781-a1c8-3d1c758bdd72","city#earth#north america#puerto rico#san juan","true"
"3e3459c9-d8d4-4bfa-b60d-a4c50274e9f5","city#earth#asia#palestinian territory#east jerusalem","true"
"e9af9571-bbd8-438b-999b-56c56fb4e64d","city#earth#oceania#palau#melekeok","true"
"ef886f6a-41ac-4c58-a2e5-d09c78330f60","city#earth#europe#portugal#lisbon","true"
"d84a3a44-d30a-4940-b48c-c03fee1525ae","city#earth#europe#svalbard and jan mayen#longyearbyen","true"
"d0458262-4185-4d35-a759-a56087e5e577","city#earth#south america#paraguay#asuncion","true"
"7afa9b1c-5797-477f-9f85-b812f3f2d04c","city#earth#asia#iraq#baghdad","true"
"4bf3da1c-a681-44d3-b34b-e3e50a58eb6c","city#earth#north america#panama#panama city","true"
"668f2fd5-1f1c-4b4c-808a-5865f8097418","city#earth#oceania#french polynesia#papeete","true"
"b03a3910-ba6e-475c-b049-29fb65cd69da","city#earth#oceania#papua new guinea#port moresby","true"
"e0f3b702-7d1a-45b2-96a5-60503f5ac87e","city#earth#south america#peru#lima","true"
"b5254b7c-1f59-4e24-9105-8edca8458a42","city#earth#asia#pakistan#islamabad","true"
"9760038c-f9ad-4cb2-8be7-9ac28b252568","city#earth#asia#philippines#manila","true"
"8051235a-2471-4838-b95b-97c9c69f6112","city#earth#oceania#pitcairn#adamstown","true"
"589f43b8-6f4d-4646-8d28-6f29da71d79b","city#earth#europe#poland#warsaw","true"
"5aaade5e-8837-40e9-8aad-604c72f11375","city#earth#north america#saint pierre and miquelon#saint-pierre","true"
"e4fa2884-a296-4bb8-94eb-8b333989bb63","city#earth#africa#zambia#lusaka","true"
"c53b1dc9-612f-4ce9-92a6-2da52b261778","city#earth#africa#western sahara#el-aaiun","true"
"701525dc-e196-489e-ae59-ed7843d9338a","city#earth#europe#estonia#tallinn","true"
"8000d879-b058-4c7c-804e-9184ebd9f987","city#earth#africa#egypt#cairo","true"
"274f1f94-25c3-424d-a200-281f31de31b8","city#earth#africa#south africa#pretoria","true"
"4e7d5872-81a9-438f-ad2b-fcb318325845","city#earth#south america#ecuador#quito","true"
"aff9ebd1-4df0-41c1-9b0a-5150b140b57d","city#earth#europe#italy#rome","true"
"3e734d07-c7a0-441a-a3d9-3bf7b9732150","city#earth#asia#vietnam#hanoi","true"
"200cb22e-a411-4a38-a473-5ef4a091f944","city#earth#oceania#solomon islands#honiara","true"
"b05bcefd-4826-4a3b-9835-56845cae699b","city#earth#africa#ethiopia#addis ababa","true"
"027d707e-a363-4a2e-a65c-301fb5b97503","city#earth#africa#somalia#mogadishu","true"
"bc63c97a-4947-4ac1-8ca5-bb0ff52330ef","city#earth#africa#zimbabwe#harare","true"
"88fa704a-66c5-430e-94dd-06a142925674","city#earth#asia#saudi arabia#riyadh","true"
"55c3ee28-fcbc-446e-b24b-ec485a8d9ec0","city#earth#europe#spain#madrid","true"
"239d0eea-551c-451b-8d55-44f2a3f5650d","city#earth#africa#eritrea#asmara","true"
"828c33c2-84a5-4999-a4b8-9ad25d528f46","city#earth#europe#montenegro#podgorica","true"
"7aac2d23-4f1f-4670-b069-97ca248bd8cc","city#earth#europe#moldova#chisinau","true"
"35d6a457-b8d3-4823-843e-6b29eee2d662","city#earth#africa#madagascar#antananarivo","true"
"6c3e6b5a-b67e-4cd4-beff-2df5df84b621","city#earth#north america#saint martin#marigot","true"
"5c8d8de4-ddaa-463e-bae0-b254b8b1880b","city#earth#africa#morocco#rabat","true"
"915dfd8d-db4e-489f-aee4-bc0eff3466ed","city#earth#europe#monaco#monaco","true"
"62ffadbc-bc51-497a-9f2d-d26b3f0f0cfa","city#earth#asia#uzbekistan#tashkent","true"
"3478a202-bcea-43fa-924f-e2fc7121c119","city#earth#asia#myanmar#nay pyi taw","true"
"8838b8ab-31b6-433a-ac19-50b657643ef5","city#earth#africa#mali#bamako","true"
